Pays,Clics,Impressions,CTR,Position
France,1314,24596,5.34%,16.65
Réunion (Île de la),497,2647,18.78%,4.89
Madagascar,363,3803,9.55%,5.33
Maurice (Île),221,3512,6.29%,8.99
Mayotte,123,480,25.62%,3.94
Suisse,81,678,11.95%,10.51
Belgique,41,569,7.21%,6.6
Afrique du Sud,40,434,9.22%,6.69
Allemagne,31,681,4.55%,19.2
Espagne,31,551,5.63%,17.76
Royaume-Uni,22,944,2.33%,13.93
États-Unis,20,4134,0.48%,19.74
Nouvelle-Calédonie,18,88,20.45%,4.67
Canada,17,877,1.94%,35.34
Italie,17,455,3.74%,19.54
Seychelles,15,542,2.77%,7.45
République démocratique du Congo,14,72,19.44%,4.47
Pays-Bas,12,857,1.4%,32.86
Thaïlande,10,194,5.15%,10.5
Guadeloupe,10,103,9.71%,4.97
Martinique,9,205,4.39%,6.48
Inde,8,451,1.77%,16.99
Polynésie française,8,96,8.33%,5.61
Mozambique,8,17,47.06%,2.29
Australie,7,228,3.07%,7.03
Portugal,7,97,7.22%,7.93
Malaisie,7,75,9.33%,16.95
Sénégal,7,56,12.5%,7.07
Nouvelle-Zélande,6,65,9.23%,5.72
Comores (Archipel),6,49,12.24%,3.73
Pologne,5,110,4.55%,7.75
Autriche,5,89,5.62%,10.34
Tanzanie,5,60,8.33%,7.32
Équateur,5,58,8.62%,16.19
Kenya,5,43,11.63%,13.07
Panama,5,35,14.29%,5.71
Côte d'Ivoire,5,27,18.52%,12.15
Maroc,4,179,2.23%,7.03
Émirats Arabes Unis,4,105,3.81%,7.61
Russie,4,79,5.06%,10.16
Roumanie,4,64,6.25%,6.31
Irlande,4,56,7.14%,7.86
Malte,4,19,21.05%,6.79
Brésil,3,265,1.13%,9.38
Algérie,3,123,2.44%,14.67
Turquie,3,115,2.61%,12.92
Suède,3,92,3.26%,5.32
Luxembourg,3,54,5.56%,7.57
Croatie,3,48,6.25%,6.67
Israël,3,47,6.38%,18.09
Norvège,3,44,6.82%,7.64
Arabie Saoudite,3,42,7.14%,19.12
Zimbabwe,3,24,12.5%,5.88
République Dominicaine,3,24,12.5%,13.71
Namibie,3,17,17.65%,6.76
Indonésie,2,165,1.21%,25.79
Mexique,2,95,2.11%,11.29
Tunisie,2,92,2.17%,7.27
République tchèque,2,46,4.35%,6.52
Singapour,2,39,5.13%,8.41
Saint-Martin,2,37,5.41%,7.59
Maldives,2,28,7.14%,7.61
Slovaquie,2,23,8.7%,9.52
Cap-Vert,2,17,11.76%,6.53
Congo-Brazzaville,2,17,11.76%,7.41
Angola,2,14,14.29%,6.36
Grenade,2,11,18.18%,4.73
Wallis-et-Futuna,2,5,40%,9.2
Samoa,2,3,66.67%,1.33
Philippines,1,156,0.64%,28.37
Argentine,1,75,1.33%,23.6
Corée du Sud,1,62,1.61%,28.21
Grèce,1,60,1.67%,5.2
Égypte,1,58,1.72%,21.78
Nigéria,1,44,2.27%,12.61
Danemark,1,42,2.38%,5.95
Japon,1,42,2.38%,16.14
Gabon,1,27,3.7%,9.26
Cameroun,1,22,4.55%,5.77
Lituanie,1,20,5%,9.95
Albanie,1,19,5.26%,7.95
Éthiopie,1,19,5.26%,32.11
Chypre,1,17,5.88%,3.35
Saint-Barthélemy,1,16,6.25%,6.81
Hong-Kong,1,16,6.25%,11.62
Uruguay,1,15,6.67%,7.73
Guyane française,1,13,7.69%,4
Slovénie,1,13,7.69%,7.54
Koweït,1,11,9.09%,10.91
Sainte-Lucie,1,7,14.29%,9
Mauritanie,1,6,16.67%,3.83
Sint Maarten,1,6,16.67%,5.83
Jersey,1,4,25%,3
Somalie,1,4,25%,3.25
Gambie,1,3,33.33%,4
Turkménistan,1,2,50%,3
Vietnam,0,79,0%,21.41
Colombie,0,66,0%,20.62
Bangladesh,0,59,0%,17.85
Hongrie,0,43,0%,8.3
Finlande,0,42,0%,6.71
Ukraine,0,40,0%,9.47
Pakistan,0,40,0%,19.9
Monaco,0,37,0%,16.78
Oman,0,36,0%,11.78
Ghana,0,31,0%,4.06
Bulgarie,0,29,0%,14.62
Pérou,0,29,0%,15.59
Chili,0,28,0%,8.07
Chine,0,22,0%,5.82
Djibouti,0,21,0%,4.71
Géorgie,0,20,0%,15.05
Haïti,0,19,0%,8.63
Serbie,0,18,0%,10.72
Guinée,0,17,0%,7.06
Estonie,0,17,0%,10.65
Qatar,0,17,0%,12.06
Irak,0,17,0%,21.82
Venezuela,0,16,0%,20.25
Cambodge,0,16,0%,35.56
Iran,0,14,0%,7.71
Bénin,0,14,0%,9.64
Jamaïque,0,12,0%,2.75
Sri Lanka,0,12,0%,7
Togo,0,12,0%,8.83
Saint-Vincent-et-les-Grenadines,0,11,0%,5.82
Liban,0,11,0%,6.45
Botswana,0,11,0%,7.18
Lettonie,0,11,0%,7.36
Azerbaïdjan,0,11,0%,7.82
Guatemala,0,11,0%,16.36
Bolivie,0,11,0%,23.45
Bahreïn,0,10,0%,18
Taïwan,0,9,0%,7.22
Zambie,0,9,0%,8.11
Trinité-et-Tobago,0,9,0%,14.78
Bosnie-Herzégovine,0,9,0%,20.11
Costa Rica,0,8,0%,5.38
Ouganda,0,8,0%,15.38
Islande,0,7,0%,4.57
Ouzbékistan,0,7,0%,7.14
Népal,0,7,0%,7.57
Porto Rico,0,7,0%,7.71
Biélorussie,0,7,0%,9.86
Macédoine,0,7,0%,9.86
Jordanie,0,7,0%,10
Honduras,0,7,0%,22.14
Arménie,0,7,0%,32.43
Burkina Faso,0,6,0%,3.17
Rwanda,0,6,0%,3.5
Bahamas,0,6,0%,6.5
Antigua-et-Barbuda,0,5,0%,4
Mali,0,5,0%,4.4
Kazakhstan,0,5,0%,5.6
Dominique,0,5,0%,8.4
Belize,0,5,0%,9
Moldavie,0,5,0%,12
Kirghizistan,0,5,0%,21.6
Myanmar (Birmanie),0,5,0%,24.4
Monténégro,0,4,0%,3.75
Aruba,0,4,0%,7.75
Paraguay,0,4,0%,10.25
El Salvador,0,4,0%,14.25
Îles Vierges américaines,0,3,0%,2.33
Syrie,0,3,0%,3.67
Saint-Christophe-et-Niévès,0,3,0%,7.67
Afghanistan,0,3,0%,10.33
Burundi,0,3,0%,11.33
Guinée-Bissau,0,2,0%,2.5
Curaçao,0,2,0%,3
Région inconnue,0,2,0%,3.5
Soudan du Sud,0,2,0%,5
Sao Tomé-et-Principe,0,2,0%,5.5
Mongolie,0,2,0%,6.5
Vanuatu,0,2,0%,7
Andorre,0,2,0%,7.5
Tchad,0,2,0%,9
Guyane,0,2,0%,10
Barbade (La),0,2,0%,11
Guinée équatoriale,0,2,0%,12
Soudan,0,2,0%,12
Sahara oriental,0,2,0%,15.5
Surinam,0,1,0%,1
Tuvalu,0,1,0%,1
Laos,0,1,0%,2
Îles Vierges britanniques,0,1,0%,3
Îles Turks-et-Caïcos,0,1,0%,7
Niger,0,1,0%,8
Palestine,0,1,0%,8
Pays-Bas caribéens,0,1,0%,9
Yémen,0,1,0%,9
Cook (Îles),0,1,0%,10
Cuba,0,1,0%,10
Man (Île),0,1,0%,11
Sierra Leone,0,1,0%,11
Fidji,0,1,0%,12
Malawi,0,1,0%,18
Tadjikistan,0,1,0%,19
Faroe (Îles),0,1,0%,71