Date,Non indexées,Dans l'index,Impressions
2025-12-08,,,610
2025-12-09,,,661
2025-12-10,,,788
2025-12-11,,,620
2025-12-12,,,661
2025-12-13,,,578
2025-12-14,,,606
2025-12-15,16,206,653
2025-12-16,16,206,556
2025-12-17,16,206,515
2025-12-18,16,206,562
2025-12-19,16,206,600
2025-12-20,16,206,546
2025-12-21,16,206,574
2025-12-22,16,206,604
2025-12-23,16,206,631
2025-12-24,15,205,543
2025-12-25,15,205,622
2025-12-26,15,205,576
2025-12-27,15,205,636
2025-12-28,15,205,592
2025-12-29,15,205,615
2025-12-30,15,205,599
2025-12-31,15,205,519
2026-01-01,15,205,686
2026-01-02,15,205,659
2026-01-03,15,205,647
2026-01-04,15,205,713
2026-01-05,15,205,695
2026-01-06,15,205,642
2026-01-07,14,205,705
2026-01-08,14,205,671
2026-01-09,14,205,724
2026-01-10,14,205,709
2026-01-11,15,204,637
2026-01-12,15,204,690
2026-01-13,15,204,648
2026-01-14,15,204,726
2026-01-15,15,204,665
2026-01-16,15,204,622
2026-01-17,15,204,674
2026-01-18,15,204,844
2026-01-19,15,204,813
2026-01-20,15,204,647
2026-01-21,15,204,785
2026-01-22,15,204,855
2026-01-23,15,204,819
2026-01-24,15,204,733
2026-01-25,15,204,745
2026-01-26,15,204,917
2026-01-27,15,204,817
2026-01-28,15,204,712
2026-01-29,15,204,717
2026-01-30,15,204,725
2026-01-31,15,204,656
2026-02-01,1311,538,776
2026-02-02,1311,538,732
2026-02-03,1311,538,652
2026-02-04,2137,366,724
2026-02-05,2137,366,692
2026-02-06,2137,366,475
2026-02-07,2137,366,359
2026-02-08,3230,315,305
2026-02-09,3230,315,326
2026-02-10,3230,315,348
2026-02-11,4810,314,257
2026-02-12,4810,314,256
2026-02-13,4810,314,230
2026-02-14,4810,314,217
2026-02-15,5181,305,332
2026-02-16,5181,305,321
2026-02-17,5181,305,353
2026-02-18,5278,281,300
2026-02-19,5278,281,336
2026-02-20,5278,281,393
2026-02-21,5278,281,414
2026-02-22,5352,260,432
2026-02-23,5352,260,455
2026-02-24,5352,260,467
2026-02-25,5525,249,408
2026-02-26,5525,249,447
2026-02-27,5525,249,508
2026-02-28,5525,249,383
2026-03-01,5525,249,377
2026-03-02,5525,249,452
2026-03-03,5525,249,355